%              t      Ex(x=4.8m)     Ex(x=10.5m)      Ex(x=100m)      Ex(x=200m)      Ex(x=300m)
   1.9531250e-04  -7.2282054e-05  -2.5200786e-05   4.5270793e-06   2.0781032e-06   8.8825346e-07
   2.0926339e-04  -6.6673527e-05  -2.3395539e-05   4.2583323e-06   2.0432754e-06   8.8727876e-07
   2.2321429e-04  -6.1553647e-05  -2.1700677e-05   4.0159610e-06   2.0069816e-06   8.8568750e-07
   2.3716518e-04  -5.6867461e-05  -2.0113113e-05   3.7974606e-06   1.9697034e-06   8.8350479e-07
   2.5111607e-04  -5.2568321e-05  -1.8628392e-05   3.6003826e-06   1.9318523e-06   8.8075861e-07
   2.6506696e-04  -4.8616427e-05  -1.7241364e-05   3.4224232e-06   1.8937777e-06   8.7747989e-07
   2.7901786e-04  -4.4977592e-05  -1.5946658e-05   3.2614578e-06   1.8557677e-06   8.7370227e-07
   2.9296875e-04  -4.1622239e-05  -1.4738927e-05   3.1155594e-06   1.8180554e-06   8.6946085e-07
   3.0691964e-04  -3.8524628e-05  -1.3612938e-05   2.9829995e-06   1.7808248e-06   8.6479219e-07
   3.2087054e-04  -3.5662142e-05  -1.2563665e-05   2.8622350e-06   1.7442198e-06   8.5973320e-07
   3.3482143e-04  -3.3014776e-05  -1.1586319e-05   2.7518983e-06   1.7083471e-06   8.5432046e-07
   3.4877232e-04  -3.0564756e-05  -1.0676364e-05   2.6507847e-06   1.6732848e-06   8.4858974e-07
   3.6272321e-04  -2.8296140e-05  -9.8295041e-06   2.5578290e-06   1.6390875e-06   8.4257571e-07
   3.7667411e-04  -2.6194591e-05  -9.0416856e-06   2.4720982e-06   1.6057871e-06   8.3631126e-07
   3.9062500e-04  -2.4247133e-05  -8.3090901e-06   2.3927715e-06   1.5734024e-06   8.2982750e-07
   4.1852679e-04  -2.0881654e-05  -7.0376161e-06   2.2546210e-06   1.5122682e-06   8.1620062e-07
   4.4642857e-04  -1.7972145e-05  -5.9357534e-06   2.1329842e-06   1.4546429e-06   8.0209991e-07
   4.7433036e-04  -1.5456045e-05  -4.9821595e-06   2.0247507e-06   1.4003453e-06   7.8768089e-07
   5.0223214e-04  -1.3279792e-05  -4.1579834e-06   1.9274929e-06   1.3491645e-06   7.7307281e-07
   5.3013393e-04  -1.1397330e-05  -3.4466133e-06   1.8393106e-06   1.3008826e-06   7.5838107e-07
   5.5803571e-04  -9.7690270e-06  -2.8334381e-06   1.7587119e-06   1.2552839e-06   7.4369097e-07
   5.8593750e-04  -8.3606409e-06  -2.3056360e-06   1.6845225e-06   1.2121657e-06   7.2907137e-07
   6.1383929e-04  -7.1425938e-06  -1.8519759e-06   1.6158092e-06   1.1713358e-06   7.1457652e-07
   6.4174107e-04  -6.0893087e-06  -1.4626347e-06   1.5518323e-06   1.1326204e-06   7.0024956e-07
   6.6964286e-04  -5.1786562e-06  -1.1290396e-06   1.4919961e-06   1.0958605e-06   6.8612368e-07
